weapon_id,kills,icon_file,name  <-- fill this column in
21002,61,NO ICON,
635,42,NO ICON,
48,28,907000048.png,
9,21,907000009.png,
50,19,907000050.png,
181,17,NO ICON,
197,14,NO ICON,
89,11,907000089.png,
45,10,907000045.png,
21,7,907000021.png,
54,7,907000054.png,
228,6,NO ICON,
18,6,907000018.png,
601,6,NO ICON,
86,6,907000086.png,
21006,5,NO ICON,
-31,5,NO ICON,
150,5,NO ICON,
99,4,NO ICON,
75,4,907000075.png,
41,4,907000041.png,
21008,4,NO ICON,
184,3,NO ICON,
49,3,907000049.png,
32,3,907000032.png,
21007,2,NO ICON,
7,2,907000007.png,
13,2,907000013.png,
46,1,907000046.png,
806,1,NO ICON,
196,1,NO ICON,
88,1,907000088.png,
805,1,NO ICON,
629,1,NO ICON,
8,1,907000008.png,
-2,1,NO ICON,
608,1,NO ICON,
185,1,NO ICON,
637,1,NO ICON,
36,1,907000036.png,
-44,1,NO ICON,
57,1,907000057.png,
21009,1,NO ICON,
